stop_id,stop_lat,stop_lon,stop_name
bartny-dol-nad-wigrami,53.9992655,23.0539004,Bartny Dół nad Wigrami
bytom-karb-wask,50.3496714,18.8855190,Bytom Karb Wąskotorowy
bytom-wask,50.3425779,18.9139494,Bytom Wąskotorowy
jedrzejow-waski,50.6441060,20.2879820,Jędrzejów Wąskotorowy
karczmiska,51.2159089,21.9974810,Karczmiska
magazyny-amunicyjne,54.6292213,18.7934649,Magazyny Amunicyjne
maltanka,52.4084370,16.9572398,Maltanka
most-na-kanale-lasica,52.346565,20.284613,Most na Kanale Lasica
most-na-utracie,52.245067,20.257467,Most na Utracie
muzeum,54.6234592,18.8018308,Muzeum
nowy-dwor-gdanski-cmentarz-komunalny,54.1988413,19.1130163,Nowy Dwór Gdański Cmentarz Komunalny
opole-lubelskie-waskie,51.1506361,21.9793126,Opole Lubelskie Wąskotorowe
piaseczno-wask,52.0701889,21.0239428,Piaseczno Wąskotorowe
pustelnia,51.170999,21.997174,Pustelnia
rogow-osob-wask,51.8167570,19.8853460,Rogów Osobowy Wąskotorowy
rogow-towar-wask,51.8128732,19.8807935,Rogów Towarowy Wąskotoworowy
rosnowo,54.0664787,16.2985414,Rosnowo
sochaczew-waskotorowy,52.2178658,20.2377155,Sochaczew Wąskotorowy
sroda-wlkp-wask,52.2200524,17.2713737,Sroda Wlkp Wąskotorowa
sroda-wlkp-wask-miasto,52.2218580,17.2795641,Sroda Wlkp Wąskotorowa Miasto
stanica,50.2000298,18.5109638,Stanica
stanowisko-nr-3,54.625868,18.800032,Stanowisko Nr 3
tarczyn,51.9809715,20.8735748,Tarczyn
tarnowskie-gory-wask,50.4400462,18.8612287,Tarnowskie Góry Wąskotorowe
wenecja-osrodek,52.8112460,17.7426075,Wenecja Ośrodek
wolka-smolana,52.290907,20.291727,Wólka Smolana
zwierzyniec,52.3997744,16.9924779,Zwierzyniec
tulowice,52.3444641,20.2840319,Tułówice
elk,53.8262637,22.3634618,Ełk
gryfice,53.9135954,15.1916678,Gryfice Wąskotorowe
hajnowka,52.7359763,23.6068454,Hajnówka Wąskotorowa
janowek,52.324637,20.282511,Janówek
koszalin,54.1871480,16.1692114,Koszalin Wąskotorowy
krosnice,51.4787116,17.3437304,Krosnice Wąskotorowe
przeworsk,50.0664576,22.5014274,Przeworsk Wąski
